document1,document2,label,antecedent,
벗고 자고,"항상 아침에 옷 다 벗고 있어요. 근데 그날 옆에 팬티가 있었어요. 그래서 처음에는 그냥 원래 안 입고 자는 사람이니까, 원래 벗고 잔다고 그랬으니까 그런 거 아무생각 안하고 그냥 팬티가 있네, 이러고 앉았는데 그런 느낌이 들고 그렇게 얘기를 하니까 ‘아, 이사람이 다 벗고 있구나.’ 그때 딱 생각이 들었어요.그러면 이때 당시에 초등학교 4학년, 5학년 때 그때 평소에도 다 벗고 있었다는 건 평소에도 아예 나체를 봤었다는 얘기예요?
아니요. 벗고 잔다고 저는, ",,사람,
아침에 팬티 주워 다가 입길래,"항상 아침에 옷 다 벗고 있어요. 근데 그날 옆에 팬티가 있었어요. 그래서 처음에는 그냥 원래 안 입고 자는 사람이니까, 원래 벗고 잔다고 그랬으니까 그런 거 아무생각 안하고 그냥 팬티가 있네, 이러고 앉았는데 그런 느낌이 들고 그렇게 얘기를 하니까 ‘아, 이사람이 다 벗고 있구나.’ 그때 딱 생각이 들었어요.그러면 이때 당시에 초등학교 4학년, 6학년 때 그때 평소에도 다 벗고 있었다는 건 평소에도 아예 나체를 봤었다는 얘기예요?
아니요. 벗고 잔다고 저는, 벗고 자고 ",,사람,
그냥 앉아서 계속 휴대폰만 했어요.,"새아빠랑 엄마는 거실에서 잤구나. 그때 OO가 다시 방으로 들어갔을 때 혹시 동생 기억나요? 동생이 어떤 반응을 했다거나, 그때 동생이 어땠는지.",,동생,
그냥 계속 기분 이상했던 거 같애요.,그러면 OO가 밖에 나가서 그 사람이 그런 행동을 할 때 그때 OO 마음은 어땠어요?,, OO,
편의점에서 동생이랑 뭘 먹고 있는데,"이제 오늘은 OO가 여기 왜 왔는지 알고 싶어요.
말해요?
응.
저... 그거 ",,OO,
너무 당황스러워 가지고,"이제 오늘은 OO가 여기 왜 왔는지 알고 싶어요.
말해요?
응.
저... 그거 편의점에서 동생이랑 뭘 먹고 있는데 할아버지가 갑자기 와 가지고 막 어깨동무 하자고 하면서 살짝이지만 닿은 거예요, 가슴에 손이. 그래 가지고 막 그것 때문에, 그때는 ",,OO,
“하지 마세요” 이런 말도 못해 가지고,"이제 오늘은 OO가 여기 왜 왔는지 알고 싶어요.
말해요?
응.
저... 그거 편의점에서 동생이랑 뭘 먹고 있는데 할아버지가 갑자기 와 가지고 막 어깨동무 하자고 하면서 살짝이지만 닿은 거예요, 가슴에 손이. 그래 가지고 막 그것 때문에, 그때는 너무 당황스러워 가지고 그냥 ",,OO,
상담 선생님한테 어쩌다가 얘기하게 됐거든요.,"이제 오늘은 OO가 여기 왜 왔는지 알고 싶어요.
말해요?
응.
저... 그거 편의점에서 동생이랑 뭘 먹고 있는데 할아버지가 갑자기 와 가지고 막 어깨동무 하자고 하면서 살짝이지만 닿은 거예요, 가슴에 손이. 그래 가지고 막 그것 때문에, 그때는 너무 당황스러워 가지고 그냥 “하지 마세요” 이런 말도 못해 가지고 한참 뒤에 있다가 ",,OO,
얘기하게 돼 가지고,"이제 오늘은 OO가 여기 왜 왔는지 알고 싶어요.
말해요?
응.
저... 그거 편의점에서 동생이랑 뭘 먹고 있는데 할아버지가 갑자기 와 가지고 막 어깨동무 하자고 하면서 살짝이지만 닿은 거예요, 가슴에 손이. 그래 가지고 막 그것 때문에, 그때는 너무 당황스러워 가지고 그냥 “하지 마세요” 이런 말도 못해 가지고 한참 뒤에 있다가 상담 선생님한테 어쩌다가 얘기하게 됐거든요. ",,OO,
"친구랑 싸워 가지고,","저... 그거 편의점에서 동생이랑 뭘 먹고 있는데 할아버지가 갑자기 와 가지고 막 어깨동무 하자고 하면서 살짝이지만 닿은 거예요, 가슴에 손이. 그래 가지고 막 그것 때문에, 그때는 너무 당황스러워 가지고 그냥 “하지 마세요” 이런 말도 못해 가지고 한참 뒤에 있다가 상담 선생님한테 어쩌다가 얘기하게 됐거든요. 얘기하게 돼 가지고 그때부터 계속 조사, 계속 물어보고 해 가지고 오늘 여기까지 온 것 같아요.
그렇군요. 그리고 또 그날 있었던 일에 대해서 또 다른 거 나한테 얘기해줄 거 있어요? 기억나는 거?
그때는 솔직히 ",,OO,
갑자기 막 와 가지고.,"그런데 거기서 그냥 먹고 있는데, 뭐 라면이랑 먹고 있는데 갑자기 그 할아버지가 오는 거예요. 제가 먹고 있는데 ",,할아버지,
엄청 놀랐고,그런데 막 저는 아무 말도 안 하고 그냥 있었는데 갑자기 어깨동무를 하면서 닿아 가지고... 닿아 가지고 ,,저,
말하고 싶어도 뭔가 계속 불안하고,그런데 막 저는 아무 말도 안 하고 그냥 있었는데 갑자기 어깨동무를 하면서 닿아 가지고... 닿아 가지고 엄청 놀랐고 ,,저,
말을 못했어요.,그런데 막 저는 아무 말도 안 하고 그냥 있었는데 갑자기 어깨동무를 하면서 닿아 가지고... 닿아 가지고 엄청 놀랐고 말하고 싶어도 뭔가 계속 불안하고 그래 가지고 ,,저,
그거 당했을 때,"그런데 막 저는 아무 말도 안 하고 그냥 있었는데 갑자기 어깨동무를 하면서 닿아 가지고... 닿아 가지고 엄청 놀랐고 말하고 싶어도 뭔가 계속 불안하고 그래 가지고 말을 못했어요.
그래요. 그리고 또? 사소한 거 아무 거나 다 말해도 돼요.
그때 솔직히 ",,저,
뭔가 불쾌했지만,"그런데 막 저는 아무 말도 안 하고 그냥 있었는데 갑자기 어깨동무를 하면서 닿아 가지고... 닿아 가지고 엄청 놀랐고 말하고 싶어도 뭔가 계속 불안하고 그래 가지고 말을 못했어요.
그래요. 그리고 또? 사소한 거 아무 거나 다 말해도 돼요.
그때 솔직히 그거 당했을 때 ",,저,
무서웠어요.,"그런데 막 저는 아무 말도 안 하고 그냥 있었는데 갑자기 어깨동무를 하면서 닿아 가지고... 닿아 가지고 엄청 놀랐고 말하고 싶어도 뭔가 계속 불안하고 그래 가지고 말을 못했어요.
그래요. 그리고 또? 사소한 거 아무 거나 다 말해도 돼요.
그때 솔직히 그거 당했을 때 뭔가 불쾌했지만 그 할아버지가 왠지 폭력 막 휘두를 것 같아 가지고 ",,저,
그때 동생이랑 갔었거든요. ,"그런데 막 저는 아무 말도 안 하고 그냥 있었는데 갑자기 어깨동무를 하면서 닿아 가지고... 닿아 가지고 엄청 놀랐고 말하고 싶어도 뭔가 계속 불안하고 그래 가지고 말을 못했어요.
그래요. 그리고 또? 사소한 거 아무 거나 다 말해도 돼요.
그때 솔직히 그거 당했을 때 뭔가 불쾌했지만 그 할아버지가 왠지 폭력 막 휘두를 것 같아 가지고 무서웠어요.
그리고 또?
그리고 ",,,
편의점에 갔는데,"그랬구나. 그런데 아까 OO가 해줬던 얘기 중에 “친구랑 싸워서”라 는 얘기를 해줬어요. 그래서 편의점을 가게 된 이유가 무슨 말이지?
친구의 부모님이 슈퍼를 하셨어요. 그런데 그 친구랑 저랑 꽤 친했거든요. 그런데 이유는 잘 모르겠지만 어쩌다가 싸웠는데, 싸워 가지고 거기를 가기도 좀 그렇고 해 가지고 ",,OO,
성폭력 피해당하기 전에는,"친구의 부모님이 슈퍼를 하셨어요. 그런데 그 친구랑 저랑 꽤 친했거든요. 그런데 이유는 잘 모르겠지만 어쩌다가 싸웠는데, 싸워 가지고 거기를 가기도 좀 그렇고 해 가지고 편의점에 갔는데 갑자기 막 할아버지도 오고 그래 가지고…
그러면 그날 그 편의점에 가기 전에, 전에도 그 편의점에 간 적이 있었어?
예.
혹시 좀 그 편의점에 원래 자주 갔던 편이었어?
그... 그 ",,저,
슈퍼에 자주 갔었는데,"친구의 부모님이 슈퍼를 하셨어요. 그런데 그 친구랑 저랑 꽤 친했거든요. 그런데 이유는 잘 모르겠지만 어쩌다가 싸웠는데, 싸워 가지고 거기를 가기도 좀 그렇고 해 가지고 편의점에 갔는데 갑자기 막 할아버지도 오고 그래 가지고…
그러면 그날 그 편의점에 가기 전에, 전에도 그 편의점에 간 적이 있었어?
예.
혹시 좀 그 편의점에 원래 자주 갔던 편이었어?
그... 그 성폭력 피해당하기 전에는 슈퍼 그 친구랑 친해 가지고 ",,저,
안 그러다가,"친구의 부모님이 슈퍼를 하셨어요. 그런데 그 친구랑 저랑 꽤 친했거든요. 그런데 이유는 잘 모르겠지만 어쩌다가 싸웠는데, 싸워 가지고 거기를 가기도 좀 그렇고 해 가지고 편의점에 갔는데 갑자기 막 할아버지도 오고 그래 가지고…
그러면 그날 그 편의점에 가기 전에, 전에도 그 편의점에 간 적이 있었어?
예.
혹시 좀 그 편의점에 원래 자주 갔던 편이었어?
그... 그 성폭력 피해당하기 전에는 슈퍼 그 친구랑 친해 가지고 슈퍼에 자주 갔었는데 그런데 거기서 편의점에만 파는 소프트 아이스크림이나 그런 게 있잖아요. 그래서 그거... 한번 맛이 어떨까 하고, 진짜... 한 달에 한 두세 번, 엄청 적게 갔어요. 그런데 그때는 ",,할아버지,
할머니랑 같이 있어 가지고...,"그랬구나. 그러면 우리가 이 일이 있기 전에 소프트 아이스크림 사먹으러 편의점에 갔을 때... 그때 할아버지가 OO한테 말 걸거나 그런 적은 없었어요?
예, 그저 가만히. 그때는 ",,OO,
갈 때마다,"그러면 OO가 아까 해준 얘기 중에 “할머니가 있는 줄 알고, 안 보이지만 할머니가 있을 거라고 생각을 하고 들어갔다” 라는 말을 해줬어요. 그건 무슨 말이야?
할머니가 ",,OO,
갔는데,"그러면 OO가 아까 해준 얘기 중에 “할머니가 있는 줄 알고, 안 보이지만 할머니가 있을 거라고 생각을 하고 들어갔다” 라는 말을 해줬어요. 그건 무슨 말이야?
할머니가 갈 때마다 계속 있어 가지고 ‘설마 오늘도 없겠어?’ 그래 가지고 ",,OO,
안 들어갔겠죠.,"그러면 OO가 아까 해준 얘기 중에 “할머니가 있는 줄 알고, 안 보이지만 할머니가 있을 거라고 생각을 하고 들어갔다” 라는 말을 해줬어요. 그건 무슨 말이야?
할머니가 갈 때마다 계속 있어 가지고 ‘설마 오늘도 없겠어?’ 그래 가지고 갔는데 없었어요.
그러면 할머니가 만약에 없었다면?
그냥  ",,OO,
인사도 잘해주시고,할머니는 다정한... 진짜 차별 그런 거 안 하고 엄청 ,,할머니,
계속 “맛있게 먹어라” 이러면서 하는데,할머니는 다정한... 진짜 차별 그런 거 안 하고 엄청 인사도 잘해주시고 ,,할머니,
돌아다니는 것,"그랬구나. 그러면 그전에도 편의점 갔을 때 할머니도 계시고 할아버지도 계셨잖아. 그때 계산대 말고 할아버지가 이렇게 밖을 돌아다니는 거 본 적도 있어?
그때 막... 음…
이 일이 있기 전에.
막 ",,할아버지,
계속 왔다 갔다 거리고...,"그랬구나. 그러면 그전에도 편의점 갔을 때 할머니도 계시고 할아버지도 계셨잖아. 그때 계산대 말고 할아버지가 이렇게 밖을 돌아다니는 거 본 적도 있어?
그때 막... 음…
이 일이 있기 전에.
막 돌아다니는 것도 몇 번 봤고 그 안에서도 ",,할아버지,
계속 돌아다녔어요.,"그렇구나. 그러면 이제 OO가 이날은 동생이랑 같이 갔네요?
예.
그러면 동생이랑 같이 들어가서 아까 라면 먹었다고 했나?
예.
라면 계산하기 전까지 있었던 일 다 말해주세요.
그때는 음... 딱히 먹을 것도 없고 그래 가지고 그냥... ‘뭘 먹어야지?’하고 ",,OO,
계산대에 갔는데,"그렇구나. 그러면 이제 OO가 이날은 동생이랑 같이 갔네요?
예.
그러면 동생이랑 같이 들어가서 아까 라면 먹었다고 했나?
예.
라면 계산하기 전까지 있었던 일 다 말해주세요.
그때는 음... 딱히 먹을 것도 없고 그래 가지고 그냥... ‘뭘 먹어야지?’하고 계속 돌아다녔어요. 그런데 뭔가 시선이 느껴져 가지고 봤는데 할아버지가 뭔가 보는 것 같고 안 보는 것 같고 애매해 가지고. 우선 애매했는데 그냥 신경 끄고 막 고르다가 어쩌다가 라면을 집어 가지고 계산대에 갔는데,
라면 몇 개?
2개요.
라면 2개를?
예.
계속 얘기해주세요. ",,OO,
신경 끄고 갔어요.,"그 안에 사람이 없이 할아버지랑 OO랑 동생만 있었어요?
예. 그래 가지고... 우선은 그냥 ",,OO,
계산하고. ,"그 안에 사람이 없이 할아버지랑 OO랑 동생만 있었어요?
예. 그래 가지고... 우선은 그냥 신경 끄고 갔어요. ",,OO,
먹었는데,"그 안에 사람이 없이 할아버지랑 OO랑 동생만 있었어요?
예. 그래 가지고... 우선은 그냥 신경 끄고 갔어요. 계산하고. 그런데 거기서 이제 먹으려고 다 준비하는데 그 할아버지가 갑자기 그냥 평범한 걸음으로 오시는 거예요. 그래 가지고 ‘혹시 뭐 닦을 게 있나?’ 그렇게 생각하고 그냥 신경 쓰지 않고 ",,OO,
제 쪽으로 점점 뒤로 오시는 거예요.,그런데 거기서 이제 먹으려고 다 준비하는데 그 할아버지가 갑자기 그냥 평범한 걸음으로 오시는 거예요. 그래 가지고 ‘혹시 뭐 닦을 게 있나?’ 그렇게 생각하고 그냥 신경 쓰지 않고 먹었는데 ,,할아버지,
어깨동무를 하는 척하면서 만졌어요.,그런데 거기서 이제 먹으려고 다 준비하는데 그 할아버지가 갑자기 그냥 평범한 걸음으로 오시는 거예요. 그래 가지고 ‘혹시 뭐 닦을 게 있나?’ 그렇게 생각하고 그냥 신경 쓰지 않고 먹었는데 제 쪽으로 점점 뒤로 오시는 거예요. 그래 가지고 갑자기 막 ,,할아버지,
계산하고,"그렇구나. 그러면 OO가 아까 할아버지가 나를 쳐다볼랑말랑 그 시점에 OO는 뭐하고 있었던 거야?
그때는 먹을 게 거의 결정 나 가지고 이제 
상품을 고르고 있던 중에 할아버지가 자꾸 쳐다보는... 쳐다볼랑말랑 할 때가 그때였던 거야?
예.
그렇구나. 그러면 라면 두 개를 골랐어. 고른 다음에, 바로 그 다음에 뭐했지?
그다음에 바로 ",,OO,
먹으려고 했어요.,"그렇구나. 그러면 OO가 아까 할아버지가 나를 쳐다볼랑말랑 그 시점에 OO는 뭐하고 있었던 거야?
그때는 먹을 게 거의 결정 나 가지고 이제 
상품을 고르고 있던 중에 할아버지가 자꾸 쳐다보는... 쳐다볼랑말랑 할 때가 그때였던 거야?
예.
그렇구나. 그러면 라면 두 개를 골랐어. 고른 다음에, 바로 그 다음에 뭐했지?
그다음에 바로 계산하고 ",,OO,
앉았어요.,"그러면 정수기 옆쪽 자리에 OO가 앉았고, 그러니까 정수기 반대편 쪽에 동생이 앉은 거네요?
예.
그다음에 앉은 그 바로 이후부터 설명해주세요.",,OO,
먹고 있는데...,"그러면 정수기 옆쪽 자리에 OO가 앉았고, 그러니까 정수기 반대편 쪽에 동생이 앉은 거네요?
예.
그다음에 앉은 그 바로 이후부터 설명해주세요.
앉았어요. 그래 가지고 이제 ",,OO,
뒤를 돌아봤는데,"그러면 정수기 옆쪽 자리에 OO가 앉았고, 그러니까 정수기 반대편 쪽에 동생이 앉은 거네요?
예.
그다음에 앉은 그 바로 이후부터 설명해주세요.
앉았어요. 그래 가지고 이제 ",,OO,
